Diario,IGTV1,IGTV2,IGTV3,IGTV4,IGTV5,IGTV6,IGTV7,IGTV8,IGTV9,IGTV10,IGTV11,IGTV12,Promedio
Ambito,9498,2214,3657,2929,3225,10200,14300,2577,1620,5364,3330,3861,5231.25
Clarin,23600,55400,97500,170000,39500,22500,113000,109000,135000,41600,25600,117000,79141.66667
Cronica,2026,6132,5335,11200,17200,17100,5394,35900,7043,15600,6280,2113,10943.58333
El cohete a la luna,15800,5624,9086,13000,35000,5242,5812,11600,2862,0,0,0,11558.44444
El Destape,60500,20300,91400,40600,75800,27900,17200,22600,16700,27200,44300,32400,39741.66667
El Territorio,712,700,542,504,501,507,838,641,3232,884,713,946,893.3333333
IP Noticias,5565,7734,15500,17100,4439,4401,5791,4926,12600,4003,8905,24000,9580.333333
Infobae,57900,69500,143000,50000,228000,90500,431000,312000,91300,311000,159000,26900,164175
La Nación,70800,34900,9690,36900,13900,20200,38200,14600,29800,18300,13300,55500,29674.16667
La Voz del Interior,1313,7723,8710,6150,16100,5497,7047,57900,4045,3014,8278,4930,10892.25
Perfil,583,11700,1200,912,2184,1985,1568,923,2143,23700,2620,1276,4232.833333
Página/12,10700,104000,215000,28100,42300,104000,33500,77400,22700,49900,146000,28800,71866.66667
TN,25400,250000,164000,256000,41400,96800,47700,171000,277000,59300,145000,28300,130158.3333
El Cronista,1854,1592,744,2365,3267,2128,25800,5006,3942,3009,3185,3447,4694.916667
